10171001,65,20,.74,
10171005,-7,-45,.77,
10171017,95,-5,.9,
10171021,10,-20,.8,
10171041,0,-15,.84,
10171301,5,0,.81,
10171302,0,0,.8,
10171303,30,10,.81,
10121001,-10,-25,.75,
10121020,-19,15,.78,
10002013,40,-20,.8,
10107014,-40,-20,.75,
10172021,-30,-80,1,
10172029,-15,-75,.93,
10172001,-70,-52,.9,
10172037,25,-20,.74,
10172017,30,0,.8,
10148025,-20,-27,.92,
10148029,85,0,.82,
10172025,35,0,.76,
10172070,70,-7,.85,
10173001,0,0,.8,
10173037,-25,-70,.9,
10173041,20,-40,.9,
10173053,-5,-65,.9,
10173021,-15,-50,.95,
10173017,-5,-35,1,
10174301,-10,55,.85,
10174302,5,0,.82,
10174303,-15,0,.8,
10174304,-5,30,.9,
10174305,-35,-15,.9,
10174306,5,70,.87,
10174029,-26,27,.8,
10174033,-100,-40,.8,
10174041,-50,0,.9,
10174025,-35,5,.7,
10174005,0,-15,.86,
10174021,-10,15,.78,
10174001,10,10,.7,
10113030,55,20,.8,
10000158,-10,-70,.95,
10175022,-5,-5,.82,
10175025,7,5,.95,
10175053,-60,-40,.85,
10175021,-10,15,.72,
10175037,-50,65,.8,
10175001,-15,-30,.9,
10175033,75,-10,.92,
10175301,25,0,.9,
10175302,-6,10,.9,
10176006,0,0,.88,
10176002,-14,35,.8,
10176022,-26,15,.69,
10176037,-15,-20,.84,
10176041,-15,-25,.8,
10176053,25,25,.75,
10176017,-10,10,.85,
