# 2015年8月●水着シリーズ,
7300,多莫维依（凶兆妖精）,730,731,732,,,,,SPHR,1,15000670,,,,,,,
7400,妮妙（电子妖精）,740,742,,,,,,SPHR,1,15000680,,,,,,,
8000,冲田总司,800,801,802,,,,,SPHR,1,15000690,,,,,,,
8100,彦星,810,811,,,,,,SPHR,1,15000700,,,,,,,
8200,乌莎哈,820,821,,,,,,SPHR,1,15000710,,,,,,,
8300,君士坦丁,830,831,832,,,,,SPHR,1,15000720,,,,,,,
5700,初号机：佣兵,571,572,,,,,,SPHR,1,15000730,,,,,,,
5800,初号机：富豪,581,582,,,,,,SPHR,1,15000740,,,,,,,
5900,初号机：侠客,591,592,,,,,,SPHR,1,15000750,,,,,,,
6000,初号机：歌姬,601,602,,,,,,SPHR,1,15000760,,,,,,,
8400,冲田总司(死剑),840,841,842,,,,,SPHR,1,15000770,,,,,,,
8500,彦星(煌星的星冠者),850,851,,,,,,SPHR,1,15000780,,,,,,,
8600,乌莎哈(七彩的才女),860,861,,,,,,SPHR,1,15000790,,,,,,,
8700,君士坦丁(圣守护者),870,871,872,,,,,SPHR,1,15000800,,,,,,,
8800,茶房之匠(青),881,882,883,,,,,SPHR,1,15000810,,,,,,,
8900,西洋风绅士,890,891,892,,,,,SPHR,1,15000820,,,,,,,
9000,茶屋侠客,901,902,,,,,,SPHR,1,15000830,,,,,,,
9100,茶屋姬,912,913,,,,,,SPHR,1,15000840,,,,,,,
9200,茶房之匠(青),921,922,923,,,,,SPHR,1,15000850,,,,,,,
9300,西洋风绅士(绿),930,931,932,,,,,SPHR,1,15000860,,,,,,,
9400,茶屋侠客(红),941,942,,,,,,SPHR,1,15000870,,,,,,,
9500,茶屋姬(桃),952,953,,,,,,SPHR,1,15000880,,,,,,,
9700,传说中的烧烤大师(昼),970,971,972,,,,,SPHR,1,15000890,,,,,,,
9800,传说中的伤心者(黑),980,981,982,,,,,SPHR,1,15000900,,,,,,,
9900,月夜海狐,990,991,992,,,,,SPHR,1,15000910,,,,,,,
10000,高原散步姬,1000,1001,1002,,,,,SPHR,1,15000920,,,,,,,
10100,传说中的烧烤大师(夜),1010,1011,1012,,,,,SPHR,1,15000930,,,,,,,
10200,传说中的伤心者(茶),1020,1021,1022,,,,,SPHR,1,15000940,,,,,,,
10300,月夜海狐(黑),1030,1031,1032,,,,,SPHR,1,15000950,,,,,,,
10400,高原散步姬(空),1040,1041,1042,,,,,SPHR,1,15000960,,,,,,,
10500,夜皇贵族,1150,1151,1152,,,,,SPHR,1,15000970,,,,,,,
10600,帝国皇子,1160,1161,1162,,,,,SPHR,1,15000980,,,,,,,
10700,王宫女仆,1171,1172,,,,,,SPHR,1,15000990,,,,,,,
10800,青蔷薇的魔女姬(桃),1181,1182,,,,,,SPHR,1,15001000,,,,,,,
11900,夜皇贵族(白),1190,1191,1192,,,,,SPHR,1,15001010,,,,,,,
12000,帝国皇子(红),1200,1201,1202,,,,,SPHR,1,15001020,,,,,,,
12100,王宫女仆(桃),1211,1212,,,,,,SPHR,1,15001030,,,,,,,
12200,青蔷薇的魔女姬,1221,1222,,,,,,SPHR,1,15001040,,,,,,,
12300,殷勤的幻魔士,1230,1231,1232,,,,,SPHR,1,15001050,,,,,,,
12400,魔导的技师,1242,1243,1244,,,,,SPHR,1,15001060,,,,,,,
12500,疾风的才媛,1250,1251,,,,,,SPHR,1,15001070,,,,,,,
12600,丰饶的魔法姬,1261,1262,,,,,,SPHR,1,15001080,,,,,,,
12700,殷勤的幻魔士·杰克版,1270,1271,1272,,,,,SPHR,1,15001090,,,,,,,
12800,黒魔导的技师,1282,1283,1284,,,,,SPHR,1,15001100,,,,,,,
12900,疾风的才媛(白),1290,1291,,,,,,SPHR,1,15001110,,,,,,,
13000,丰饶的魔法姬(红),1301,1302,,,,,,SPHR,1,15001120,,,,,,,
13200,学园的幕后番长,1320,1321,1322,,,,,SPHR,1,15001130,,,,,,,
13300,学生会执行部,1330,1331,1332,,,,,SPHR,1,15001140,,,,,,,
13400,学园风纪委员,1340,1341,1342,,,,,SPHR,1,15001150,,,,,,,
13500,学园偶像,1350,1351,1352,,,,,SPHR,1,15001160,,,,,,,
13600,学园的正义番长,1360,1361,1362,,,,,SPHR,1,15001170,,,,,,,
13700,学生会执行部（绿）,1370,1371,1372,,,,,SPHR,1,15001180,,,,,,,
13800,学园风纪委员（红）,1380,1381,1382,,,,,SPHR,1,15001190,,,,,,,
13900,女番长姬,1390,1391,1392,,,,,SPHR,1,15001200,,,,,,,
14000,防寒红,1561,1562,1563,,,,,SPHR,1,15001210,,,,,,,
14100,日下的午餐,1570,1571,1572,,,,,SPHR,1,15001220,,,,,,,
14200,女神的幸福论,1580,1581,1582,,,,,SPHR,1,15001230,,,,,,,
14300,圣夜的魔法姬红,1591,1592,,,,,,SPHR,1,15001240,,,,,,,
14400,防寒蓝,1601,1602,1603,,,,,SPHR,1,15001250,,,,,,,
14500,宵夜的晚餐,1610,1611,1612,,,,,SPHR,1,15001260,,,,,,,
14600,天使的幸福论,1620,1621,1622,,,,,SPHR,1,15001270,,,,,,,
14700,圣夜的魔法姬蓝,1631,1632,,,,,,SPHR,1,15001280,,,,,,,
14800,倾奇者(须佐之男),1650,1651,,,,,,SPHR,1,15001290,,,,,,,
14900,神卫队士(蓝华),1660,1661,1662,,,,,SPHR,1,15001300,,,,,,,
15000,新春阳光太夫,1670,1671,1672,,,,,SPHR,1,15001310,,,,,,,
15100,神座的巫女,1681,1682,,,,,,SPHR,1,15001320,,,,,,,
16900,天衣无缝的倾奇者(月读),1690,1691,,,,,,SPHR,1,15001330,,,,,,,
17000,皇国的神卫队士(松叶),1700,1701,1702,,,,,SPHR,1,15001340,,,,,,,
17100,新春月光太夫,1710,1711,1712,,,,,SPHR,1,15001350,,,,,,,
17200,神座的神职,1721,1722,,,,,,SPHR,1,15001360,,,,,,,
11700,帕罗米德,1071,1072,,,,,,SPHR,1,15001370,,,,,,,
11800,库丘林,1081,1082,1083,,,,,SPHR,1,15001380,,,,,,,
10900,钻石,1091,1092,,,,,,SPHR,1,15001390,,,,,,,
11000,蝴蝶剑,1100,1101,1102,,,,,SPHR,1,15001400,,,,,,,
11100,帕罗米德(白枪骑士),1111,1112,,,,,,SPHR,1,15001410,,,,,,,
11200,库丘林(绀碧的魔枪),1121,1122,1123,,,,,SPHR,1,15001420,,,,,,,
11300,钻石(金刚之辉),1131,1132,,,,,,SPHR,1,15001430,,,,,,,
11400,蝴蝶剑(春风的音色),1140,1141,1142,,,,,SPHR,1,15001440,,,,,,,
15800,学徒型亚瑟 剑术之城,1420,1421,1422,,,,,SPHR,1,15001450,,,,,,,
15900,白恋型 富豪亚瑟,1430,1431,1432,,,,,SPHR,1,15001460,,,,,,,
16000,伊格兰,1441,1442,1443,,,,,SPHR,1,15001470,,,,,,,
16100,科妮莉亚,1451,1452,,,,,,SPHR,1,15001480,,,,,,,
16200,学徒型亚瑟 剑术之城(书记),1460,1461,1462,,,,,SPHR,1,15001490,,,,,,,
16300,白恋型 富豪亚瑟(甜美男爵),1470,1471,1472,,,,,SPHR,1,15001500,,,,,,,
16400,伊格兰(大地女神),1481,1482,1483,,,,,SPHR,1,15001510,,,,,,,
16500,科妮莉亚(银河少女),1491,1492,,,,,,SPHR,1,15001520,,,,,,,
18500,夏日(白),1850,1851,,,,,,SPHR,1,15001530,,,,,,,
18600,假日(青),1860,1861,,,,,,SPHR,1,15001540,,,,,,,
18700,比基尼(桃),1870,1871,,,,,,SPHR,1,15001550,,,,,,,
18800,抹胸(绀),1880,1881,,,,,,SPHR,1,15001560,,,,,,,
18900,莫德雷德(B型）,1890,1891,1892,1893,,,,SPHR,1,15001570,,,,,,,
19000,马尔科(黄金骑士）,1900,1901,1902,1903,,,,SPHR,1,15001580,,,,,,,
19100,辉夜(月歌姬）,1910,1911,1912,,,,,SPHR,1,15001590,,,,,,,
19200,克莱尔（深红）,1920,1921,1922,,,,,SPHR,1,15001600,,,,,,,
90100,尤米冈,90001,90002,,,,,,SPHR,1,90100690,,,,,,,
90200,新春米可,90011,90012,,,,,,SPHR,1,90200700,,,,,,,
90300,新春三千,90020,90021,90022,,,,,SPHR,1,90300710,,,,,,,
90400,居家四季,90031,90032,90034,,,,,SPHR,1,90400720,,,,,,,
90500,雕男人,90100,90101,,,,,,SPHR,1,90100800,,,,,,,
90600,米可豪,90111,90112,90113,,,,,SPHR,1,90200800,,,,,,,
90700,新春艾露,90122,90123,90124,,,,,SPHR,1,90300800,,,,,,,
90800,新春女帝,90131,90132,90133,,,,,SPHR,1,90400800,,,,,,,
