#ボスID,キャラID,#,
#,,#,
#,,#,
20004004,10161070,#,
,,#,
#20004100,,#,
20004101,10162307,#,
#20004110,,#,
20004111,10162306,#,
#20004120,,#,
,,#,
20004201,60400055,#,
20004202,60400055,#,
20004203,60400055,#,
20004204,60400055,#,
,,#,
20004301,10166108,#,
20004302,10166108,#,
20004303,10166108,#,
20004304,10166108,#,
,,#,
20004401,60400012,#,
20004402,60400012,#,
20004403,60400012,#,
20004404,60400012,#,
,,#,
20004501,60400012,#,
20004502,60400012,#,
20004503,60400012,#,
20004504,60400012,#,
,,#,
20004611,60400073,#,
,,#,
20004711,,#,
,,#,
20004811,,#,
20004911,,#,
,,#,
21001001,20000021,#,
21001002,20000021,#,
21001003,20000021,#,
21001005,20000021,#,
,,#,
21001101,20000021,#,
21001102,20000021,#,
21001103,20000021,#,
21001105,20000021,#,
,,#,
21002001,20000022,#,
21002002,20000022,#,
21002003,20000022,#,
21002005,20000022,#,
,,#,
21002101,20000022,#,
21002102,20000022,#,
21002103,20000022,#,
21002105,20000022,#,
,,#,
21003001,20000023,#,
21003002,20000023,#,
21003003,20000023,#,
21003005,20000023,#,
,,#,
21003111,20000023,#,
21003112,20000023,#,
21003113,20000023,#,
21003115,20000023,#,
,,#,
21004001,20000024,#,
21004002,20000024,#,
21004003,20000024,#,
21004005,20000024,#,
,,#,
21004111,20000024,#,
21004112,20000024,#,
21004113,20000024,#,
21004115,20000024,#,
,,#,
21005001,20000025,#,
21005002,20000025,#,
21005003,20000025,#,
21005005,20000025,#,
,,#,
21005111,20000025,#,
21005112,20000025,#,
21005113,20000025,#,
21005115,20000025,#,
,,#,
21006001,20000027,#,
21006002,20000027,#,
21006003,20000027,#,
#21006005,20000027,#,
,,#,
21006111,20000027,#,
21006112,20000027,#,
21006113,20000027,#,
#21006115,20000027,#,
,,#,
21006221,20000027,#,
21006222,20000027,#,
21006223,20000027,#,
#21006225,20000027,#,
,,#,
21007001,20000021,#,
21007002,20000021,#,
21007003,20000021,#,
,,#,
21007101,20000022,#,
21007102,20000022,#,
21007103,20000022,#,
,,#,
21007201,20000023,#,
21007202,20000023,#,
21007203,20000023,#,
,,#,
21007301,20000024,#,
21007302,20000024,#,
21007303,20000024,#,
,,#,
21007401,20000025,#,
21007402,20000025,#,
21007403,20000025,#,
,,#,
21007501,20000027,#,
21007502,20000027,#,
21007503,20000027,#,
,,#,
21010003,60100011,#,
#21010005,60100011,#,
21010013,60100011,#,
21010015,60100011,#,
21010023,60100011,#,
21010025,60100011,#,
21010033,60100011,#,
21010035,60100011,#,
21010043,60100011,#,
21010045,60100011,#,
21010053,60100011,#,
21010055,60100011,#,
,,#,
,,#,
30010102,60000012,#,
30010103,60000012,#,
30010104,60000012,#,
30010105,60000012,#,
,,#,
30010202,60000012,#,
30010203,60000012,#,
30010204,60000012,#,
30010205,60000012,#,
,,#,
30020102,60000021,#,
30020103,60000021,#,
30020104,60000021,#,
30020105,60000021,#,
,,#,
30020202,60000060,#,
30020203,60000060,#,
30020204,60000060,#,
,,#,
30020302,60000060,#,
30020303,60000060,#,
30020304,60000060,#,
30020305,60000060,#,
,,#,
30020402,60000060,#,
30020403,60000060,#,
30020404,60000060,#,
30020405,60000060,#,
,,#,
30020502,60000060,#,
30020503,60000060,#,
30020504,60000060,#,
30020505,60000060,#,
,,#,
30030102,60000035,#,
30030103,60000035,#,
30030104,60000035,#,
30030105,60000035,#,
,,#,
30040102,60000013,#,
30040103,60000013,#,
30040104,60000013,#,
30040105,60000013,#,
,,#,
30050102,60000083,#,
30050103,60000083,#,
30050104,60000083,#,
30050105,60000083,#,
,,#,
30060102,60000024,#,
30060103,60000024,#,
30060104,60000024,#,
30060105,60000024,#,
,,#,
30070102,60000033,#,
30070103,60000033,#,
30070104,60000033,#,
30070105,60000033,#,
,,#,
30080102,60000092,#,
30080103,60000092,#,
30080104,60000092,#,
30080105,60000092,#,
,,#,
30090102,10000142,#,
30090103,10000142,#,
30090104,10000142,#,
30090105,10000142,#,
,,#,
30100102,10000135,#,
30100103,10000135,#,
30100104,10000135,#,
30100105,10000135,#,
,,#,
30110102,60000014,#,
30110103,60000014,#,
30110105,60000014,#,
30110106,60000014,#,
,,#,
30110202,60000154,#,
30110203,60000154,#,
30110205,60000154,#,
30110206,60000154,#,
,,#,
30120102,60000033,#,
30120103,60000033,#,
30120105,60000033,#,
30120106,60000033,#,
,,#,
30130102,60000021,#,
30130103,60000021,#,
30130105,60000021,#,
30130106,60000021,#,
,,#,
30140102,60000162,#,
30140103,60000162,#,
30140105,60000162,#,
30140106,60000162,#,
,,#,
30150102,60000035,#,
30150103,60000035,#,
30150105,60000035,#,
30150106,60000035,#,
,,#,
30160102,60000011,#,
30160103,60000011,#,
30160105,60000011,#,
30160106,60000011,#,
,,#,
30170102,60000024,#,
30170103,60000024,#,
30170105,60000024,#,
30170106,60000024,#,
,,#,
30180102,60000213,#,
30180103,60000213,#,
30180105,60000213,#,
30180106,60000213,#,
,,#,
30190102,60000332,#,
30190103,60000332,#,
30190105,60000332,#,
30190106,60000332,#,
,,#,
30200102,60000025,#,
30200103,60000025,#,
30200105,60000025,#,
30200106,60000025,#,
,,#,
30210102,10000142,#,
30210103,10000142,#,
30210105,10000142,#,
30210106,10000142,#,
,,#,
30220102,60000154,#,
30220103,60000154,#,
30220105,60000154,#,
30220106,60000154,#,
,,#,
30230102,60000033,#,
30230103,60000033,#,
30230105,60000033,#,
30230106,60000033,#,
,,#,
30240102,60200122,#,
30240103,60200122,#,
30240105,60200122,#,
30240106,60200122,#,
,,#,
30250102,10000135,#,
30250103,10000135,#,
30250105,10000135,#,
30250106,10000135,#,
,,#,
30260102,60300334,#,
30260103,60300334,#,
30260105,60300334,#,
30260106,60300334,#,
,,#,
30270102,60000011,#,
30270103,60000011,#,
30270105,60000011,#,
30270106,60000011,#,
,,#,
30280102,60300213,#,
30280103,60300213,#,
30280105,60300213,#,
30280106,60300213,#,
,,#,
30290102,60000332,#,
30290103,60000332,#,
30290105,60000332,#,
30290106,60000332,#,
,,#,
30300102,60000015,#,
30300103,60000015,#,
30300105,60000015,#,
30300106,60000015,#,
,,#,
30310102,60000024,#,
30310103,60000024,#,
30310105,60000024,#,
30310106,60000024,#,
,,#,
30320102,60300401,#,
30320103,60300401,#,
30320105,60300401,#,
30320106,60300401,#,
,,#,
30330102,10000135,#,
30330103,10000135,#,
30330105,10000135,#,
30330106,10000135,#,
,,#,
30340102,60200605,#,
30340103,60200605,#,
30340105,60200605,#,
30340106,60200605,#,
,,#,
30350102,10000142,#,
30350103,10000142,#,
30350105,10000142,#,
30350106,10000142,#,
,,#,
30360102,60300361,#,
30360103,60300361,#,
30360105,60300361,#,
30360106,60300361,#,
,,#,
30370102,60000023,#,
30370103,60000023,#,
30370105,60000023,#,
30370106,60000023,#,
,,#,
30380102,60300112,#,
30380103,60300112,#,
30380105,60300112,#,
30380106,60300112,#,
30380207,60300112,#,
,,#,
30380302,60300112,#,
30380303,60300112,#,
30380305,60300112,#,
30380306,60300112,#,
30380407,60300112,#,
30380507,60300112,#,
,,#,
30390102,60300401,#,
30390103,60300401,#,
30390105,60300401,#,
30390106,60300401,#,
,,#,
30400102,10000135,#,
30400103,10000135,#,
30400105,10000135,#,
30400106,10000135,#,
,,#,
30410102,60000035,#,
30410103,60000035,#,
30410105,60000035,#,
30410106,60000035,#,
,,#,
30420102,10130031,#,
30420103,10130031,#,
30420105,10130031,#,
30420106,10130031,#,
,,#,
30430102,60000021,#,
30430103,60000021,#,
30430105,60000021,#,
30430106,60000021,#,
,,#,
30440102,60300212,#,
30440103,60300212,#,
30440105,60300212,#,
30440106,60300212,#,
30440207,60300212,#,
,,#,
30450102,60000015,#,
30450103,60000015,#,
30450105,60000015,#,
30450106,60000015,#,
,,#,
30460102,60200223,#,
30460103,60200223,#,
30460105,60200223,#,
30460106,60200223,#,
,,#,
30470102,60300334,#,
30470103,60300334,#,
30470105,60300334,#,
30470106,60300334,#,
,,#,
30480106,10125058,#,
,,#,
30490102,10125058,#,
30490103,10125058,#,
30490105,10125058,#,
30490106,10125058,#,
,,#,
30500102,60300401,#,
30500103,60300401,#,
30500105,60300401,#,
30500106,60300401,#,
,,#,
30510102,10125058,#,
30510103,10125058,#,
30510105,10125058,#,
30510106,10125058,#,
,,#,
30520102,60300401,#,
30520103,60300401,#,
30520105,60300401,#,
30520106,60300401,#,
,,#,
30530102,60300114,#,
30530103,60300114,#,
30530105,60300114,#,
30530106,60300114,#,
,,#,
30540102,60000023,#,
30540103,60000023,#,
30540105,60000023,#,
30540106,60000023,#,
,,#,
30550102,10109005,#,
30550103,10109005,#,
30550105,10109005,#,
30550106,10109005,#,
30551102,10109005,#,
30551103,10109005,#,
30551105,10109005,#,
30551106,10109005,#,
30552102,10109005,#,
30552103,10109005,#,
30552105,10109005,#,
30552106,10109005,#,
30553102,10109005,#,
30553103,10109005,#,
30553105,10109005,#,
30553106,10109005,#,
,,#,
30560102,10000142,#,
30560103,10000142,#,
30560105,10000142,#,
30560106,10000142,#,
30561102,10000142,#,
30561103,10000142,#,
30561105,10000142,#,
30561106,10000142,#,
30562102,10000142,#,
30562103,10000142,#,
30562105,10000142,#,
30562106,10000142,#,
,,#,
30570102,60300402,#,
30570103,60300402,#,
30570105,60300402,#,
30570106,60300402,#,
30570207,60300402,#,
,,#,
30580102,10000135,#,
30580103,10000135,#,
30580105,10000135,#,
30580106,10000135,#,
,,#,
30590102,60300111,#,
30590103,60300111,#,
30590105,60300111,#,
30590106,60300111,#,
,,#,
30600102,60000033,#,
30600103,60000033,#,
30600105,60000033,#,
30600106,60000033,#,
,,#,
30610102,60200504,#,
30610103,60200504,#,
30610105,60200504,#,
30610106,60200504,#,
,,#,
30620102,60000022,#,
30620103,60000022,#,
30620105,60000022,#,
30620106,60000022,#,
,,#,
30630102,60300113,#,
30630103,60300113,#,
30630105,60300113,#,
30630106,60300113,#,
,,#,
30640102,60300331,#,
30640103,60300331,#,
30640105,60300331,#,
30640106,60300331,#,
,,#,
30650102,60300113,#,
30650103,60300113,#,
30650105,60300113,#,
30650106,60300113,#,
,,#,
30660102,60300331,#,
30660103,60300331,#,
30660105,60300331,#,
30660106,60300331,#,
,,#,
30670102,60600105,#,
30670103,60600105,#,
30670105,60600105,#,
30670106,60600105,#,
30671102,60600105,#,
30671103,60600105,#,
30671105,60600105,#,
30671106,60600105,#,
30672102,60600105,#,
30672103,60600105,#,
30672105,60600105,#,
30672106,60600105,#,
,,#,
30680102,60300112,#,
30680103,60300112,#,
30680105,60300112,#,
30680106,60300112,#,
,,#,
30690102,60600204,#,
30690103,60600204,#,
30690105,60600204,#,
30690115,60600204,#,
30690106,60600204,#,
30690116,60600204,#,
30691102,60600204,#,
30691103,60600204,#,
30691105,60600204,#,
30691106,60600204,#,
30691202,60600204,#,
30691203,60600204,#,
30691205,60600204,#,
30691206,60600204,#,
,,#,
30700102,60600105,#,
30700103,60600105,#,
30700105,60600105,#,
30700106,60600105,#,
,,#,
30710102,60600301,#,
30710103,60600301,#,
30710105,60600301,#,
30710115,60600301,#,
30710106,60600301,#,
30710116,60600301,#,
,,#,
30720102,60000015,#,
30720103,60000015,#,
30720105,60000015,#,
30720106,60000015,#,
,,#,
30711102,60600301,#,
30711103,60600301,#,
30711105,60600301,#,
30711115,60600301,#,
30711106,60600301,#,
30711116,60600301,#,
,,#,
30721102,60000015,#,
30721103,60000015,#,
30721105,60000015,#,
30721106,60000015,#,
,,#,
30730102,60201005,#,
30730103,60201005,#,
30730105,60201005,#,
30730115,60201005,#,
30730106,60201005,#,
30730116,60201005,#,
,,#,
30740102,10109005,#,
30740103,10109005,#,
30740105,10109005,#,
30740106,10109005,#,
,,#,
30750102,60200133,#,
30750103,60200133,#,
30750105,60200133,#,
30750115,60200133,#,
30750106,60200133,#,
30750116,60200133,#,
,,#,
30760102,60300114,#,
30760103,60300114,#,
30760105,60300114,#,
30760115,60300114,#,
30760106,60300114,#,
30760116,60300114,#,
,,#,
30770102,60200512,#,
30770103,60200512,#,
30770105,60200512,#,
30770115,60200512,#,
30770106,60200512,#,
30770116,60200512,#,
,,#,
30780102,60000023,#,
30780103,60000023,#,
30780105,60000023,#,
30780115,60000023,#,
30780106,60000023,#,
30780116,60000023,#,
,,#,
30790102,10116034,#,
30791102,10116034,#,
30790103,10116034,#,
30791103,10116034,#,
30790105,10116034,#,
30791105,10116034,#,
30790106,10116034,#,
30791106,10116034,#,
,,#,
30800102,10000300,#,
30801102,10000300,#,
30800103,10000300,#,
30801103,10000300,#,
30800105,10000300,#,
30801105,10000300,#,
30800106,10000300,#,
30801106,10000300,#,
,,#,
30810102,60300404,#,
30811102,60300404,#,
30810103,60300404,#,
30811103,60300404,#,
30810105,60300404,#,
30811105,60300404,#,
30810106,60300404,#,
30811106,60300404,#,
,,#,
30820102,60201501,#,
30821102,60201501,#,
30820103,60201501,#,
30821103,60201501,#,
30820105,60201501,#,
30821105,60201501,#,
30820106,60201501,#,
30821106,60201501,#,
,,#,
30830102,60300704,#,
30831102,60300704,#,
30830103,60300704,#,
30831103,60300704,#,
30830105,60300704,#,
30831105,60300704,#,
30830106,60300704,#,
30831106,60300704,#,
30831116,60300704,#,
30830107,60300704,#,
30831127,60300704,#,
30831137,60300704,#,
,,#,
30840102,10113004,#,
30841102,10113004,#,
30840103,10113004,#,
30841103,10113004,#,
30840105,10113004,#,
30841105,10113004,#,
30840106,10113004,#,
30841106,10113004,#,
30841116,10113004,#,
30840107,10113004,#,
30841127,10113004,#,
30841137,10113004,#,
,,#,
30850102,10117036,#,
30851102,10117036,#,
30850103,10117036,#,
30851103,10117036,#,
30850105,10117036,#,
30851105,10117036,#,
30850106,10117036,#,
30851106,10117036,#,
30851116,10117036,#,
30850107,10117036,#,
30851127,10117036,#,
30851137,10117036,#,
,,#,
30860102,60200814,#,
30861102,60200814,#,
30860103,60200814,#,
30861103,60200814,#,
30860105,60200814,#,
30861105,60200814,#,
30860106,60200814,#,
30861106,60200814,#,
30861116,60200814,#,
30860107,60200814,#,
30861127,60200814,#,
30861137,60200814,#,
,,#,
30870102,60200522,#,
30871102,60200522,#,
30870103,60200522,#,
30871103,60200522,#,
30870105,60200522,#,
30871105,60200522,#,
30870106,60200522,#,
30871106,60200522,#,
30871116,60200522,#,
30870107,60200522,#,
30871127,60200522,#,
30871137,60200522,#,
,,#,
30880102,60300903,#,
30881102,60300903,#,
30880103,60300903,#,
30881103,60300903,#,
30880105,60300903,#,
30881105,60300903,#,
30880106,60300903,#,
30881106,60300903,#,
30881116,60300903,#,
30880107,60300903,#,
30881127,60300903,#,
30881137,60300903,#,
,,#,
30890102,60300701,#,
30891102,60300701,#,
30890103,60300701,#,
30891103,60300701,#,
30890105,60300701,#,
30891105,60300701,#,
30890106,60300701,#,
30891106,60300701,#,
30891116,60300701,#,
30890107,60300701,#,
30891127,60300701,#,
30891137,60300701,#,
,,#,
30900107,60201604,#,
30900217,60201604,#,
30900218,60201604,#,
,,#,
30910102,60201614,#,
30911102,60201614,#,
30910103,60201614,#,
30911103,60201614,#,
30910105,60201614,#,
30911105,60201614,#,
30910106,60201614,#,
30911106,60201614,#,
30911116,60201614,#,
30910107,60201614,#,
30911127,60201614,#,
30911137,60201614,#,
30911216,60201614,#,
30911237,60201614,#,
30911296,60201614,#,
30911297,60201614,#,
,,#,
30920102,60201101,#,
30921102,60201101,#,
30920103,60201101,#,
30921103,60201101,#,
30920105,60201101,#,
30921105,60201101,#,
30920106,60201101,#,
30921106,60201101,#,
30921116,60201101,#,
30920107,60201101,#,
30921127,60201101,#,
30921137,60201101,#,
30920108,60201101,#,
30921138,60201101,#,
30921216,60201101,#,
30921237,60201101,#,
30921296,60201101,#,
30921297,60201101,#,
30921238,60201101,#,
30921298,60201101,#,
,,#,
30930102,10159002,#,
30931102,10159002,#,
30930103,10159002,#,
30931103,10159002,#,
30930105,10159002,#,
30931105,10159002,#,
30930106,10159002,#,
30931106,10159002,#,
30931116,10159002,#,
30930107,10159002,#,
30931127,10159002,#,
30931137,10159002,#,
,,#,
30940102,10166044,#,
30940103,10166044,#,
30940105,10166044,#,
30940106,10166044,#,
30940116,10166044,#,
30940107,10166044,#,
30940117,10166044,#,
30940108,10166044,#,
,,#,
30941105,10166044,#,
30941106,10166044,#,
30941107,10166044,#,
30941108,10166044,#,
,,#,
30950106,60201614,#,
30950116,60201614,#,
30950107,60201614,#,
30950117,60201614,#,
,,#,
30951106,60201614,#,
30951107,60201614,#,
,,#,
30960102,,#,
30960103,,#,
30960105,,#,
30960106,,#,
30960116,,#,
30960107,,#,
30960117,,#,
30960108,,#,
,,#,
30961105,,#,
30961106,,#,
30961107,,#,
30961108,,#,
,,#,
31070102,,#,
31070103,,#,
31070105,,#,
31070106,,#,
31070116,,#,
31070107,,#,
31070117,,#,
,,#,
31071105,,#,
31071106,,#,
31071107,,#,
,,#,
31090102,,#,
31090103,,#,
31090105,,#,
31090106,,#,
31090116,,#,
31090107,,#,
31090117,,#,
,,#,
31091105,,#,
31091106,,#,
31091107,,#,
,,#,
31110102,,#,
31110103,,#,
31110105,,#,
31110106,,#,
31110116,,#,
31110107,,#,
31110117,,#,
,,#,
31111102,,#,
31111103,,#,
31111105,,#,
31111106,,#,
31111107,,#,
,,#,
31130102,,#,
31130103,,#,
31130105,,#,
31130106,,#,
31130116,,#,
31130107,,#,
31130117,,#,
,,#,
31131102,,#,
31131103,,#,
31131105,,#,
31131106,,#,
31131107,,#,
,,#,
,,#,
35010101,60400035,#,
35011101,60400035,#,
35012102,60400035,#,
,,#,
35020101,60400047,#,
35021101,60400047,#,
35022102,60400047,#,
,,#,
35030101,60400053,#,
35031101,60400053,#,
35032102,60400053,#,
,,#,
35040101,60400066,#,
35041101,60400066,#,
35042102,60400066,#,
,,#,
35050101,,#,
35051101,,#,
35052102,,#,
,,#,
35060101,,#,
35061101,,#,
,,#,
35070101,,#,
35071101,,#,
35072102,,#,
,,#,
35080101,,#,
35081101,,#,
35082102,,#,
,,#,
,,#,
36010102,60201005,#,
36011102,60201005,#,
36010103,60201005,#,
36011103,60201005,#,
36010105,60201005,#,
36011105,60201005,#,
36010106,60201005,#,
36011106,60201005,#,
36011116,60201005,#,
36010107,60201005,#,
36011127,60201005,#,
36011137,60201005,#,
36010108,60201005,#,
36011138,60201005,#,
,,#,
36020103,60600204,#,
36021103,60600204,#,
36020105,60600204,#,
36021105,60600204,#,
36020106,60600204,#,
36021106,60600204,#,
36021116,60600204,#,
36020107,60600204,#,
36021127,60600204,#,
36021137,60600204,#,
36020108,60600204,#,
36021138,60600204,#,
,,#,
36030103,60600105,#,
36031103,60600105,#,
36030105,60600105,#,
36031105,60600105,#,
36030106,60600105,#,
36031106,60600105,#,
36031116,60600105,#,
,,#,
,,#,
,,#,
37001001,60000012,#,
37001002,60000012,#,
,,#,
37002001,60000162,#,
37002002,60000162,#,
,,#,
37003001,60200512,#,
37003002,60200512,#,
,,#,
37004001,60200122,#,
37004002,60200122,#,
,,#,
37005001,60000092,#,
37005002,60000092,#,
,,#,
37006001,60300112,#,
37006002,60300112,#,
,,#,
37007001,60200211,#,
37007002,60200211,#,
,,#,
37008001,60000060,#,
37008002,60000060,#,
,,#,
37009001,60300401,#,
37009002,60300401,#,
,,#,
37010001,60300361,#,
37010002,60300361,#,
,,#,
37011001,60201501,#,
37011002,60201501,#,
,,#,
37012001,60200901,#,
37012002,60200901,#,
,,#,
37013001,60000213,#,
37013002,60000213,#,
,,#,
37014001,60000083,#,
37014002,60000083,#,
,,#,
37015001,60300113,#,
37015002,60300113,#,
,,#,
37016001,60300213,#,
37016002,60300213,#,
,,#,
37017001,60201203,#,
37017002,60201203,#,
,,#,
37018001,60200133,#,
37018002,60200133,#,
,,#,
37019001,60300704,#,
37019002,60300704,#,
,,#,
37020001,60000014,#,
37020002,60000014,#,
,,#,
37021001,60000024,#,
37021002,60000024,#,
,,#,
37022001,60300334,#,
37022002,60300334,#,
,,#,
37023001,60200804,#,
37023002,60200804,#,
,,#,
37024001,60200504,#,
37024002,60200504,#,
,,#,
37025001,60000025,#,
37025002,60000025,#,
,,#,
37026001,60200205,#,
37026002,60200205,#,
,,#,
37027001,60000035,#,
37027002,60000035,#,
,,#,
37028001,60000015,#,
37028002,60000015,#,
,,#,
37029001,60200305,#,
37029002,60200305,#,
,,#,
37030001,60201305,#,
37030002,60201305,#,
,,#,
,,#,
37031001,60200901,#,
37031002,60200901,#,
37031003,60200901,#,
,,#,
37032001,60300112,#,
37032002,60300112,#,
37032003,60300112,#,
,,#,
37033001,60300701,#,
37033002,60300701,#,
37033003,60300701,#,
,,#,
37034001,60200512,#,
37034002,60200512,#,
37034003,60200512,#,
,,#,
37035001,60201501,#,
37035002,60201501,#,
37035003,60201501,#,
,,#,
37036001,10113004,#,
37036002,10113004,#,
37036003,10113004,#,
,,#,
,,#,
37037001,60400057,#,
37037002,60400057,#,
37037003,60400057,#,
37037004,60400057,#,
,,#,
37038001,60400058,#,
37038002,60400058,#,
37038003,60400058,#,
37038004,60400058,#,
,,#,
37039001,60400059,#,
37039002,60400059,#,
37039003,60400059,#,
37039004,60400059,#,
,,#,
37040001,60400060,#,
37040002,60400060,#,
37040003,60400060,#,
37040004,60400060,#,
,,#,
37041001,60400061,#,
37041002,60400061,#,
37041003,60400061,#,
37041004,60400061,#,
,,#,
37042001,60400062,#,
37042002,60400062,#,
37042003,60400062,#,
37042004,60400062,#,
37042011,60400062,#,
37042012,60400062,#,
37042013,60400062,#,
37042014,60400062,#,
37042021,60400062,#,
37042022,60400062,#,
37042023,60400062,#,
37042024,60400062,#,
37042031,60400062,#,
37042032,60400062,#,
37042033,60400062,#,
37042034,60400062,#,
37042041,60400062,#,
37042042,60400062,#,
37042043,60400062,#,
37042044,60400062,#,
,,#,
,,#,
37043001,60000025,#,
37043002,60000025,#,
,,#,
37044001,10000135,#,
37044002,10000135,#,
,,#,
37045001,60000035,#,
37045002,60000035,#,
,,#,
37046001,60000015,#,
37046002,60000015,#,
,,#,
37047001,10125058,#,
37047002,10125058,#,
,,#,
37048001,10117036,#,
37048002,10117036,#,
,,#,
,,#,
37049001,60400071,#,
37049002,60400071,#,
37049003,60400071,#,
,,#,
37049011,60400071,#,
37049012,60400071,#,
37049013,60400071,#,
,,#,
37049021,60400071,#,
37049022,60400071,#,
37049023,60400071,#,
,,#,
37049031,60400071,#,
37049032,60400071,#,
37049033,60400071,#,
,,#,
37049041,60400071,#,
37049042,60400071,#,
37049043,60400071,#,
,,#,
,,#,
,,#,
40001003,10002013,#,
40001004,10002013,#,
,,#,
40002001,10001045,#,
40002002,10001045,#,
40002003,10001045,#,
,,#,
40003001,10001047,#,
40003002,10001047,#,
40003003,10001047,#,
,,#,
40004001,10001049,#,
40004002,10001049,#,
40004003,10001049,#,
,,#,
40005003,10000206,#,
40005004,10000206,#,
,,#,
,,#,
40006001,10003003,#,
40006002,10003004,#,
,,#,
40007001,10003001,#,
40007002,10003001,#,
40007003,10003002,#,
,,#,
40008001,10000208,#,
40008002,10000208,#,
40008003,10000209,#,
,,#,
40009001,10002017,#,
40009002,10002018,#,
,,#,
40010001,10001039,#,
40010002,10001039,#,
40010003,10001040,#,
,,#,
,,#,
40011001,10103001,#,
40011002,10103001,#,
40011003,10103002,#,
,,#,
40012001,10103009,#,
40012002,10103009,#,
40012003,10103010,#,
,,#,
40013001,10103003,#,
40013002,10103003,#,
40013003,10103004,#,
,,#,
40014003,10103005,#,
40014005,10103006,#,
,,#,
40015003,10103007,#,
40015005,10103008,#,
,,#,
,,#,
40016001,10105013,#,
40016002,10105013,#,
40016003,10105014,#,
,,#,
40017001,10105018,#,
40017002,10105019,#,
,,#,
40018001,10105016,#,
40018002,10105016,#,
,,#,
40019001,10105020,#,
40019002,10105020,#,
40019003,10105021,#,
,,#,
40020001,10105022,#,
40020002,10105022,#,
40020003,10105023,#,
,,#,
,,#,
40021003,10103005,#,
40021004,10103006,#,
40021005,10103006,#,
,,#,
40022003,10103007,#,
40022004,10103008,#,
40022005,10103008,#,
,,#,
,,#,
40023003,10002013,#,
40023004,10002013,#,
,,#,
40024001,10001045,#,
40024002,10001045,#,
40024003,10001045,#,
,,#,
40025001,10001047,#,
40025002,10001047,#,
40025003,10001047,#,
,,#,
40026001,10001049,#,
40026002,10001049,#,
40026003,10001049,#,
,,#,
40027003,10000206,#,
40027004,10000206,#,
,,#,
40028001,10003003,#,
40028002,10003004,#,
,,#,
40029001,10003001,#,
40029002,10003001,#,
40029003,10003002,#,
,,#,
40030001,10000208,#,
