#デバッグコマンド一覧
#'#'でコメント行、','が区切り
#コマンド名,コマンド,パラメータ説明
#SVコマンド
AP追加,/addap <ap_add>,ap_add:AP
CPKファイル削除,cpk_delete <name>,name:cpkファイル名
CPKファイルCSV情報出力,cpk_csv_grep,
CPKファイルバージョン情報出力,cpk_version_grep,
インストール済みCPKファイル情報出力,cpk_install_grep,
バインド済みCPKファイル情報出力,cpk_bind_grep,
スクリプター実行,scr <path>,path:ファイルパス
ストーリースクリプト実行,story_scr <id> <part> <main>,id:ID part:パート main:メインフラグ(未入力or0以外でメイン)
NPCイベント実行,npc_event <event_type> <script_name> <id>,event_type:0=STORYBATTLE,1=MINISTORY_BATTLE,2=MINISTORY_STAGEQUEST script_name:スクリプト名 id:NPCイベントID
Webページオープン,web <url>,url:URL
WebページJS呼び出し,evaluateJS <js>,js:JavaScriptコード
進化合成に必要なカード取得,evo_card <id> [<num>],id:進化させるカードID num:何回分か
アーサーデッキ追加,add_deck_arthur <id>, id:1~4 傭兵、富豪、盗賊、歌姫
指定アーサーのカード全取得,add_card_arthur <id> <num> <lv> <fame> <love>, id:0~4 育、傭、富、盗、歌 num:数 lv:レベル fame:名声 love:忠誠度
指定名称を含むカード全取得,add_card_name <name>,name:カード名称、指定無しならば全て
指定スキルのカード全取得,add_card_skill <id>,id=スキルID
指定スキル機能のカード全取得,add_card_skill_role <id>,id=スキル機能ID
指定レアリティのカード全取得,add_card_rarity <rarity>,rarity=カードレアリティ NORMAL(1)～MILLIONRARE(6)
カード詳細画面に表示中のカードを取得する,add_card_detail,※カードコレクションやガチャ画面など可
指定最大Lvの未入手カード全取得,add_card_lvmax <maxlv> [<num>] [<lv>] [<fame>] [<love>]
全てのカードレベル設定,card_lv <lv>, lv:レベル
全てのカード名声設定,card_fame <fame>, fame:名声
全てのカード忠誠度設定,card_love <love>, love:忠誠度
デッキのカード名声設定,card_fame_deck <fame> <arthur_type> <deck_index>, fame:名声。1～ arthur_type:アーサータイプ。0以下or省略=全て deck_index:0～。-1以下or省略=全て
メインデッキのカード名声設定,card_fame_maindeck <fame> <arthur_type> <deck_index> <deckslot_index>, fame:名声。1～ arthur_type:アーサータイプ。0以下or省略=全て deck_index:0～。-1以下or省略=全て deckslot_index:0～9。-1以下or省略=全て
サポートデッキのカード名声設定,card_fame_supportdeck <fame> <arthur_type> <deck_index> <deckslot_index>, fame:名声。1～ arthur_type:アーサータイプ。0以下or省略=全て deck_index:0～。-1以下or省略=全て deckslot_index:0～9。-1以下or省略=全て
デッキのカード忠誠度設定,card_love_deck <love> <arthur_type> <deck_index>, love:忠誠度。0～ arthur_type:アーサータイプ。0以下or省略=全て deck_index:0～。-1以下or省略=全て
メインデッキのカード忠誠度設定,card_love_maindeck <love> <arthur_type> <deck_index> <deckslot_index>, love:忠誠度。0～ arthur_type:アーサータイプ。0以下or省略=全て deck_index:0～。-1以下or省略=全て deckslot_index:0～9。-1以下or省略=全て
サポートデッキのカード忠誠度設定,card_love_supportdeck <love> <arthur_type> <deck_index> <deckslot_index>, love:忠誠度。0～ arthur_type:アーサータイプ。0以下or省略=全て deck_index:0～。-1以下or省略=全て deckslot_index:0～9。-1以下or省略=全て
指定アーサーのスフィア全取得,add_sphr_arthur <id>,id:0~4 無(全アーサー)、傭、富、盗、歌
指定名称を含むスフィア全取得,add_sphr_name <name>,name:スフィア名称、指定無しならば全て
スフィア詳細画面に表示中のスフィアを取得する,add_sphr_detail,※ガチャ画面など可
聖杯スフィア全取得,add_sphr_chalice,
指定名称を含むコスチューム全取得,add_costume_name <name>,name:コスチューム名称、指定無しならば全て
指定名称を含むアバターパーツ全取得,add_avatarparts_name <name>,name:アバターパーツ名称、指定無しならば全て
指定名称を含むシリーズのアバターパーツ全取得,add_series_name <name>,name:シリーズ名称、指定無しならば全て
指定名称を含むアイテム全取得,add_item_name <name>,name:アイテム名称、指定無しならば全て
セーブデータ削除,savedate_clear,
アセットバンドル全ダウンロード,download_AssetsBundleAll,
課金:未消化プロダクトの全消化,consume_all_product,
課金:プロダクト完了処理の有効・無効,completion_process <Active>, Active:1 有効、0 無効
課金:購入処理可能かどうか確認,store_process,
課金:指定アイテムを購入できるかどうか確認,store_purchase <index>, index:課金アイテム番号(0～)
カード所持数最大に（クリスタル必須）,cardmax,カード所持数増加処理を繰り返してるだけです
PvPNPC戦 対戦相手をマイデッキに設定,pvpnpc_deck <arthur_type> <idx> <idx> <idx> <idx>,arthur_type:1~4 idx:0~2 傭兵富豪盗賊歌姫のデッキ番号
PvPレース戦 レーティング変更,/setrating <rating> <idx>,rating:0~2 idx:0~（連勝数）
PvPマニュアルモード,pvp_manual 1,1:on 0:off
カードコレクション ページジャンプ,cardcl page <page>,page=1～(ページ)
モーション再生(アバターカスタマイズシーンのみ使用可),anim <filename>,filename:"motion"フォルダ内のファイル名
SmartBeatID取得,get_smartbeat_id,
開催中イベントID表示,show_eventid,
称号入手UI表示,open_gethonor,honor_id
