#ページ,ポジション,カードID,
14,1,10000153,
14,2,10000154,
14,3,10000155,
14,4,10000156,
14,5,10000157,
14,6,10000158,
14,7,10000214,
14,8,10000215,
14,9,10000050,
14,10,10000051,
15,1,10002001,
15,2,10002002,
15,3,10000111,
15,4,10000112,
15,5,10000063,
15,6,10000064,
15,7,10001033,
15,8,10001034,
15,9,10000162,
15,10,10000163,
16,1,10000090,
16,2,10000303,
16,3,10000091,
16,4,10000092,
16,5,10000075,
16,6,10000076,
16,7,10000077,
16,8,10000078,
16,9,10000079,
16,10,10000080,
17,1,10000068,
17,2,10000069,
17,3,10000070,
17,4,10000071,
17,5,10000176,
17,6,10000177,
17,7,10000178,
17,8,10000065,
17,9,10000066,
17,10,10000067,
18,1,10000109,
18,2,10000110,
18,3,10000216,
18,4,10000217,
18,5,10000171,
18,6,10000172,
18,7,10000087,
18,8,10000088,
18,9,10000164,
18,10,10000165,
19,1,10001029,
19,2,10001030,
19,3,10003007,
19,4,10003008,
19,5,10003009,
19,6,10003010,
19,7,20000001,
19,8,20000002,
19,9,20000003,
19,10,20000004,
20,1,20000005,
20,2,20000006,
20,3,20000007,
20,4,20000008,
20,5,20000009,
20,6,20000010,
20,7,20000011,
20,8,20000012,
20,9,20000013,
20,10,20000014,
21,1,20000015,
21,2,20000016,
21,3,20000017,
21,4,20000018,
21,5,20000019,
21,6,20000020,
21,7,20000021,
21,8,20000022,
21,9,20000023,
21,10,20000024,
22,1,20000025,
22,2,20000026,
22,3,20000027,
22,4,20000028,
22,5,20000029,
22,6,10000099,
22,7,10000100,
22,8,10000101,
22,9,10003005,
22,10,10003006,
23,1,10000231,
23,2,10000238,
23,3,10000245,
23,4,10000252,
23,5,10001045,
23,6,10001046,
23,7,10002013,
23,8,10002014,
23,9,10001047,
23,10,10001048,
24,1,10001049,
24,2,10001050,
24,3,10000206,
24,4,10000207,
24,5,10003003,
24,6,10003004,
24,7,10003001,
24,8,10003002,
24,9,10000208,
24,10,10000209,
25,1,10002017,
25,2,10002018,
25,3,10001039,
25,4,10001040,
25,5,10002019,
25,6,10002020,
25,7,10000141,
25,8,10000142,
25,9,10000300,
25,10,10000301,
26,1,10001057,
26,2,10001058,
26,3,10001023,
26,4,10001024,
26,5,10103001,
26,6,10103002,
26,7,10103003,
26,8,10103004,
26,9,10103005,
26,10,10103006,
27,1,10103007,
27,2,10103008,
27,3,10103009,
27,4,10103010,
27,5,10104001,
27,6,10104002,
27,7,10104003,
27,8,10104004,
27,9,10104005,
27,10,10104006,
28,1,10104007,
28,2,10104008,
28,3,10104009,
28,4,10104010,
28,5,10002029,
28,6,10002030,
28,7,10104011,
28,8,10104012,
28,9,10106003,
28,10,10106004,
29,1,10106005,
29,2,10106006,
29,3,10106001,
29,4,10106002,
29,5,10106007,
29,6,10106008,
29,7,10106009,
29,8,10106010,
29,9,10106011,
29,10,10106012,
30,1,10105001,
30,2,10105002,
30,3,10105004,
30,4,10105005,
30,5,10105006,
30,6,10105007,
30,7,10105008,
30,8,10105009,
30,9,10105011,
30,10,10105012,
31,1,10105013,
31,2,10105014,
31,3,10105015,
31,4,10105016,
31,5,10105018,
31,6,10105019,
31,7,10105020,
31,8,10105021,
31,9,10105022,
31,10,10105023,
32,1,10105025,
32,2,10105026,
32,3,10105033,
32,4,10105034,
32,5,10105035,
32,6,10105036,
32,7,10105029,
32,8,10105030,
32,9,10105031,
32,10,10105032,
33,1,10105027,
33,2,10105028,
33,3,10107003,
33,4,10107004,
33,5,10107001,
33,6,10107002,
33,7,10107005,
33,8,10107006,
33,9,10107007,
33,10,10107008,
34,1,10107009,
34,2,10107010,
34,3,10107012,
34,4,10107013,
34,5,10107014,
34,6,10107015,
34,7,10107016,
34,8,10107017,
34,9,10107018,
34,10,10107019,
35,1,10107020,
35,2,10107021,
35,3,10107022,
35,4,10107023,
35,5,10107024,
35,6,10107025,
35,7,10108001,
35,8,10108002,
35,9,10108003,
35,10,10108004,
36,1,10108005,
36,2,10108006,
36,3,10108007,
36,4,10108008,
36,5,10107026,
36,6,10107027,
36,7,10107028,
36,8,10108009,
36,9,10108010,
36,10,10108011,
37,1,10108012,
37,2,10108013,
37,3,10108014,
37,4,10108015,
37,5,10108016,
37,6,10108017,
37,7,10108018,
37,8,10108019,
37,9,10108020,
37,10,10108021,
38,1,10108022,
38,2,10108023,
38,3,10108024,
38,4,10108025,
38,5,10108026,
38,6,10108027,
38,7,10108028,
38,8,10108029,
38,9,10108030,
38,10,10108031,
39,1,10108032,
39,2,10109027,
39,3,10109028,
39,4,10109029,
39,5,10109030,
39,6,10109031,
39,7,10109032,
39,8,10109033,
39,9,10109034,
39,10,10109001,
40,1,10109002,
40,2,10109003,
40,3,10109004,
40,4,10109005,
40,5,10109006,
40,6,10109007,
40,7,10109008,
40,8,10109009,
40,9,10109010,
40,10,10109011,
41,1,10109012,
41,2,10109013,
41,3,10109014,
41,4,10109015,
41,5,10109016,
41,6,10109017,
41,7,10109018,
41,8,10109019,
41,9,10109020,
41,10,10109021,
42,1,10109022,
42,2,10109023,
42,3,10109024,
42,4,10109035,
42,5,10109036,
42,6,10109037,
42,7,10109038,
42,8,10109039,
42,9,10109040,
42,10,10109041,
43,1,10109042,
43,2,10110001,
43,3,10110002,
43,4,10110003,
43,5,10110004,
43,6,10110005,
43,7,10110006,
43,8,10110007,
43,9,10110008,
43,10,10110009,
44,1,10110010,
44,2,10110011,
44,3,10110012,
44,4,10110013,
44,5,10110014,
44,6,10110015,
44,7,10110016,
44,8,10110017,
44,9,10110018,
44,10,10110019,
45,1,10110020,
45,2,10110023,
45,3,10110024,
45,4,10110025,
45,5,10110026,
45,6,10110027,
45,7,10110028,
45,8,10110029,
45,9,10110030,
45,10,10110031,
46,1,10110032,
46,2,10110033,
46,3,10110034,
46,4,10110035,
46,5,10110036,
46,6,10110037,
46,7,10110038,
46,8,10110039,
46,9,10110040,
46,10,10111001,
47,1,10111002,
47,2,10111003,
47,3,10111004,
47,4,10111005,
47,5,10111006,
47,6,10111007,
47,7,10111008,
47,8,10111009,
47,9,10111010,
47,10,10111011,
48,1,10111012,
48,2,10111013,
48,3,10111014,
48,4,10111015,
48,5,10111016,
48,6,10111017,
48,7,10111018,
48,8,10111019,
48,9,10111020,
48,10,10111021,
49,1,10111022,
49,2,10111023,
49,3,10111024,
49,4,10111025,
49,5,10111026,
49,6,10111027,
49,7,10111028,
49,8,10111029,
49,9,10111030,
49,10,10111031,
50,1,10111032,
50,2,10111033,
50,3,10111034,
50,4,10111035,
50,5,10111036,
50,6,10111037,
50,7,10111038,
50,8,10112001,
50,9,10112002,
50,10,10111041,
51,1,10111042,
51,2,10112003,
51,3,10112004,
51,4,10112005,
51,5,10112006,
51,6,10112007,
51,7,10112008,
51,8,10113001,
51,9,10113002,
51,10,10113003,
52,1,10113004,
52,2,10113005,
52,3,10113006,
52,4,10113007,
52,5,10113008,
52,6,10113009,
52,7,10113010,
52,8,10113011,
52,9,10113012,
52,10,10113013,
53,1,10113014,
53,2,10113015,
53,3,10113016,
53,4,10113017,
53,5,10113018,
53,6,10113019,
53,7,10113020,
53,8,10113021,
53,9,10113022,
53,10,10113023,
54,1,10113024,
54,2,10113025,
54,3,10113026,
54,4,10113027,
54,5,10113028,
54,6,10113029,
54,7,10113030,
54,8,10113031,
54,9,10113032,
54,10,10113033,
55,1,10113034,
55,2,10113035,
55,3,10113036,
55,4,10113037,
55,5,10113038,
55,6,10113039,
55,7,10113040,
55,8,10113041,
55,9,10113042,
55,10,10113043,
56,1,10113044,
56,2,10113045,
56,3,10113046,
56,4,10113047,
56,5,10113048,
56,6,10113049,
56,7,10113050,
56,8,10113051,
56,9,10113052,
56,10,10113053,
57,1,10113054,
57,2,10113055,
57,3,10113056,
57,4,10113057,
57,5,10113058,
57,6,10113059,
57,7,10113060,
57,8,10113061,
57,9,10113062,
57,10,10113063,
58,1,10113064,
58,2,10113065,
58,3,10113066,
58,4,10113067,
58,5,10113068,
58,6,10113069,
58,7,10113070,
58,8,10113071,
58,9,10113072,
58,10,10113073,
59,1,10113074,
59,2,10113075,
59,3,10113076,
59,4,10113077,
59,5,10113078,
59,6,10114001,
59,7,10114002,
59,8,10114003,
59,9,10114004,
59,10,10114005,
60,1,10114006,
60,2,10114007,
60,3,10114008,
60,4,10114009,
60,5,10114010,
60,6,10114011,
60,7,10114012,
60,8,10114013,
60,9,10114014,
60,10,10114015,
61,1,10114016,
61,2,10114017,
61,3,10114018,
61,4,10114019,
61,5,10114020,
61,6,10114021,
61,7,10114022,
61,8,10114023,
61,9,10114024,
61,10,10114025,
62,1,10114026,
62,2,10114027,
62,3,10114028,
62,4,10114029,
62,5,10114030,
62,6,10114031,
62,7,10114032,
62,8,10114033,
62,9,10114034,
62,10,10114035,
63,1,10114036,
63,2,10114037,
63,3,10114038,
63,4,10114039,
63,5,10114040,
63,6,10114041,
63,7,10114042,
63,8,10114043,
63,9,10114044,
63,10,10114045,
64,1,10114046,
64,2,10114047,
64,3,10114048,
64,4,10115001,
64,5,10115002,
64,6,10115003,
64,7,10115004,
64,8,10115005,
64,9,10115006,
64,10,10115007,
65,1,10115008,
65,2,10115009,
65,3,10115010,
65,4,10115011,
65,5,10115012,
65,6,10115013,
65,7,10115014,
65,8,10115015,
65,9,10115016,
65,10,10115017,
66,1,10115018,
66,2,10115019,
66,3,10115020,
66,4,10115021,
66,5,10115022,
66,6,10115023,
66,7,10115024,
66,8,10115025,
66,9,10115026,
66,10,10115027,
67,1,10115028,
67,2,10115029,
67,3,10115030,
67,4,10115031,
67,5,10115032,
67,6,10115033,
67,7,10115034,
67,8,10115035,
67,9,10115036,
67,10,10115037,
68,1,10116001,
68,2,10116002,
68,3,10116003,
68,4,10116004,
68,5,10116005,
68,6,10116006,
68,7,10116007,
68,8,10116008,
68,9,10116009,
68,10,10116010,
69,1,10116011,
69,2,10116012,
69,3,10116013,
69,4,10116014,
69,5,10116015,
69,6,10116016,
69,7,10116017,
69,8,10116018,
69,9,10116019,
69,10,10116020,
70,1,10116021,
70,2,10116022,
70,3,10116023,
70,4,10116024,
70,5,10116025,
70,6,10116026,
70,7,10116027,
70,8,10116028,
70,9,10116029,
70,10,10116030,
71,1,10116031,
71,2,10116032,
71,3,10116033,
71,4,10116034,
71,5,10116035,
71,6,10116036,
71,7,10117035,
71,8,10117036,
71,9,10117037,
71,10,10117038,
72,1,10117039,
72,2,10117040,
72,3,10117041,
72,4,10117042,
72,5,10117001,
72,6,10117002,
72,7,10117003,
72,8,10117004,
72,9,10117005,
72,10,10117006,
73,1,10117007,
73,2,10117008,
73,3,10117009,
73,4,10117010,
73,5,10117011,
73,6,10117012,
73,7,10117013,
73,8,10117014,
73,9,10117015,
73,10,10117016,
74,1,10117017,
74,2,10117018,
74,3,10117019,
74,4,10117020,
74,5,10117021,
74,6,10117022,
74,7,10117023,
74,8,10117024,
74,9,10117025,
74,10,10117026,
75,1,10117027,
75,2,10117028,
75,3,10117029,
75,4,10117030,
75,5,10117031,
75,6,10117032,
75,7,10117033,
75,8,10117034,
75,9,10118001,
75,10,10118002,
76,1,10118003,
76,2,10118004,
76,3,10118005,
76,4,10118006,
76,5,10118007,
76,6,10118008,
76,7,10118009,
76,8,10118010,
76,9,10118011,
76,10,10118012,
77,1,10118013,
77,2,10118014,
77,3,10118015,
77,4,10118016,
77,5,10118017,
77,6,10118018,
77,7,10118019,
77,8,10118020,
77,9,10118021,
77,10,10118022,
78,1,10118023,
78,2,10118024,
78,3,10118025,
78,4,10118026,
78,5,10118027,
78,6,10118028,
78,7,10118029,
78,8,10118030,
78,9,10118031,
78,10,10118032,
79,1,10118033,
79,2,10118034,
79,3,10119001,
79,4,10119002,
79,5,10119003,
79,6,10119004,
79,7,10119005,
79,8,10119006,
79,9,10119007,
79,10,10119008,
80,1,10119009,
80,2,10119010,
80,3,10119011,
80,4,10119012,
80,5,10119013,
80,6,10119014,
80,7,10119015,
80,8,10119016,
80,9,10119017,
80,10,10119018,
81,1,10119019,
81,2,10119020,
81,3,10119021,
81,4,10119022,
81,5,10119023,
81,6,10119024,
81,7,10119025,
81,8,10119026,
81,9,10119027,
81,10,10119028,
82,1,10119029,
82,2,10119030,
82,3,10119031,
82,4,10119032,
82,5,10119033,
82,6,10119034,
82,7,10119035,
82,8,10119036,
82,9,10119037,
82,10,10119038,
83,1,10119039,
83,2,10119040,
83,3,10120001,
83,4,10120002,
83,5,10120003,
83,6,10120004,
83,7,10120005,
83,8,10120006,
83,9,10120007,
83,10,10120008,
84,1,10120009,
84,2,10120010,
84,3,10120011,
84,4,10120012,
84,5,10120013,
84,6,10120014,
84,7,10120015,
84,8,10120016,
84,9,10120017,
84,10,10120018,
85,1,10120019,
85,2,10120020,
85,3,10120021,
85,4,10120022,
85,5,10120023,
85,6,10120024,
85,7,10120025,
85,8,10120026,
85,9,10120027,
85,10,10120028,
86,1,10120029,
86,2,10120030,
86,3,10120031,
86,4,10120032,
86,5,10120033,
86,6,10120034,
86,7,10120035,
86,8,10120036,
86,9,10120037,
86,10,10120038,
87,1,10120039,
87,2,10120040,
87,3,10120041,
87,4,10120042,
87,5,10120043,
87,6,10120044,
87,7,10120045,
87,8,10120046,
87,9,10120047,
87,10,10120048,
88,1,10120049,
88,2,10120050,
88,3,10120051,
88,4,10120052,
88,5,10120053,
88,6,10120054,
88,7,10120055,
88,8,10121001,
88,9,10121002,
88,10,10121003,
89,1,10121004,
89,2,10121005,
89,3,10121006,
89,4,10121007,
89,5,10121008,
89,6,10121009,
89,7,10121010,
89,8,10121011,
89,9,10121012,
89,10,10121013,
90,1,10121014,
90,2,10121015,
90,3,10121016,
90,4,10121017,
90,5,10121018,
90,6,10121019,
90,7,10121020,
90,8,10121021,
90,9,10121022,
90,10,10121023,
91,1,10121024,
91,2,10121025,
91,3,10121026,
91,4,10121027,
91,5,10121028,
91,6,10121029,
91,7,10121030,
91,8,10121031,
91,9,10121032,
91,10,10121033,
92,1,10121034,
92,2,10121035,
92,3,10121036,
92,4,10121037,
92,5,10121038,
92,6,10121039,
92,7,10121040,
92,8,10121041,
92,9,10121042,
92,10,10121043,
93,1,10121044,
93,2,10121045,
93,3,10121047,
93,4,10121048,
93,5,10121049,
93,6,10121050,
93,7,10121051,
93,8,10121053,
93,9,10121054,
93,10,10122001,
94,1,10122002,
94,2,10122003,
94,3,10122004,
94,4,10122005,
94,5,10122006,
94,6,10122007,
94,7,10122008,
94,8,10122009,
94,9,10122010,
94,10,10122011,
95,1,10122012,
95,2,10122013,
95,3,10122014,
95,4,10122015,
95,5,10122016,
95,6,10122017,
95,7,10122018,
95,8,10122019,
95,9,10122020,
95,10,10122021,
96,1,10122022,
96,2,10122023,
96,3,10122024,
96,4,10122025,
96,5,10122026,
96,6,10122027,
96,7,10122028,
96,8,10122029,
96,9,10122030,
96,10,10122031,
97,1,10122032,
97,2,10122033,
97,3,10122034,
97,4,10122035,
97,5,10122036,
97,6,10122037,
97,7,10122038,
97,8,10122039,
97,9,10122040,
97,10,10122041,
98,1,10122042,
98,2,10122043,
98,3,10122044,
98,4,10122045,
98,5,10122046,
98,6,10122047,
98,7,10122048,
98,8,10122049,
98,9,10122050,
98,10,10122051,
99,1,10122052,
99,2,10122053,
99,3,10122054,
99,4,10122055,
99,5,10122056,
99,6,10123001,
99,7,10123002,
99,8,10123004,
99,9,10123005,
99,10,10123006,
100,1,10123007,
100,2,10123008,
100,3,10123009,
100,4,10123010,
100,5,10123011,
100,6,10123013,
100,7,10123014,
100,8,10123015,
100,9,10123016,
100,10,10123017,
101,1,10123018,
101,2,10123019,
101,3,10123020,
101,4,10123022,
101,5,10123023,
101,6,10123024,
101,7,10123025,
101,8,10123026,
101,9,10123027,
101,10,10123028,
102,1,10123029,
102,2,10123030,
102,3,10123031,
102,4,10123032,
102,5,10123033,
102,6,10123034,
102,7,10123035,
102,8,10123036,
102,9,10123037,
102,10,10123038,
103,1,10123039,
103,2,10123040,
103,3,10123041,
103,4,10123042,
103,5,10123043,
103,6,10123044,
103,7,10123045,
103,8,10123046,
103,9,10123047,
103,10,10123048,
104,1,10123049,
104,2,10123050,
104,3,10123051,
104,4,10123052,
104,5,10123053,
104,6,10123054,
104,7,10123055,
104,8,10123056,
104,9,10123057,
104,10,10124001,
105,1,10124002,
105,2,10124003,
105,3,10124004,
105,4,10124005,
105,5,10124006,
105,6,10124007,
105,7,10124008,
105,8,10124009,
105,9,10124010,
105,10,10124011,
106,1,10124012,
106,2,10124013,
106,3,10124014,
106,4,10124015,
106,5,10124016,
106,6,10124017,
106,7,10124018,
106,8,10124019,
106,9,10124020,
106,10,10124021,
107,1,10124022,
107,2,10124023,
107,3,10124024,
107,4,10124025,
107,5,10124026,
107,6,10124027,
107,7,10124028,
107,8,10124029,
107,9,10124030,
107,10,10124031,
108,1,10124032,
108,2,10124033,
108,3,10124034,
108,4,10124035,
108,5,10124036,
108,6,10124037,
108,7,10124038,
108,8,10124039,
108,9,10124040,
108,10,10124041,
109,1,10124042,
109,2,10124043,
109,3,10124044,
109,4,10124045,
109,5,10124046,
109,6,10124047,
109,7,10124048,
109,8,10124049,
109,9,10124050,
109,10,10124051,
110,1,10125001,
110,2,10125002,
110,3,10125003,
110,4,10125004,
110,5,10125005,
110,6,10125006,
110,7,10125007,
110,8,10125008,
110,9,10125009,
110,10,10125010,
111,1,10125011,
111,2,10125012,
111,3,10125013,
111,4,10125014,
111,5,10125015,
111,6,10125016,
111,7,10125017,
111,8,10125018,
111,9,10125019,
111,10,10125020,
112,1,10125021,
112,2,10125022,
112,3,10125023,
112,4,10125024,
112,5,10125025,
112,6,10125026,
112,7,10125027,
112,8,10125028,
112,9,10125029,
112,10,10125030,
113,1,10125031,
113,2,10125032,
113,3,10125033,
113,4,10125034,
113,5,10125035,
113,6,10125036,
113,7,10125037,
113,8,99990162,
113,9,99990163,
113,10,99990164,
114,1,99990165,
114,2,99990166,
114,3,99990167,
114,4,99990168,
114,5,99990169,
114,6,10125044,
114,7,10125045,
114,8,10125046,
114,9,10125047,
114,10,10125048,
115,1,10125049,
115,2,10125050,
115,3,10125051,
115,4,99990170,
115,5,10126001,
115,6,10126002,
115,7,10126003,
115,8,10126004,
115,9,10126005,
115,10,10126006,
116,1,10126007,
116,2,10126008,
116,3,10126009,
116,4,10126010,
116,5,10126011,
116,6,10126012,
116,7,10126013,
116,8,10126014,
116,9,10126015,
116,10,10126016,
117,1,10126017,
117,2,10126018,
117,3,10126019,
117,4,10126020,
117,5,99990171,
117,6,99990172,
117,7,99990173,
117,8,99990174,
117,9,10126025,
117,10,10126026,
118,1,10126027,
118,2,10126028,
118,3,10126029,
118,4,10126030,
118,5,99990175,
118,6,99990176,
118,7,99990177,
118,8,99990178,
118,9,99990179,
118,10,99990180,
119,1,99990181,
119,2,99990182,
119,3,99990183,
119,4,99990184,
119,5,99990185,
119,6,99990186,
119,7,10126045,
119,8,10126046,
119,9,10126047,
119,10,10126048,
120,1,10126049,
120,2,10126050,
120,3,10126051,
120,4,10126052,
120,5,10126053,
120,6,10126054,
120,7,20001001,
120,8,20001002,
120,9,20001003,
120,10,20001004,
121,1,20001005,
121,2,20001006,
121,3,20001007,
121,4,20001008,
121,5,20001009,
121,6,20001010,
121,7,20001011,
121,8,20001012,
121,9,20001013,
121,10,20001014,
122,1,20001015,
122,2,20001016,
122,3,20001017,
122,4,20001018,
122,5,99990187,
122,6,99990188,
122,7,99990189,
122,8,99990190,
122,9,99990191,
122,10,99990192,
123,1,99990001,
123,2,99990002,
123,3,99990003,
123,4,99990004,
123,5,99990005,
123,6,99990006,
123,7,99990007,
123,8,99990008,
123,9,99990009,
123,10,99990010,
124,1,99990011,
124,2,99990012,
124,3,99990013,
124,4,99990014,
124,5,99990015,
124,6,99990016,
124,7,99990017,
124,8,99990018,
124,9,99990019,
124,10,99990020,
125,1,99990021,
125,2,99990022,
125,3,99990023,
125,4,99990024,
125,5,99990025,
125,6,99990026,
125,7,99990027,
125,8,99990028,
125,9,99990029,
125,10,99990030,
126,1,99990031,
126,2,99990032,
126,3,99990033,
126,4,99990034,
126,5,99990035,
126,6,99990036,
126,7,99990037,
126,8,99990038,
126,9,99990039,
126,10,99990040,
127,1,99990041,
127,2,99990042,
127,3,99990043,
127,4,99990044,
127,5,99990045,
127,6,99990046,
127,7,99990047,
127,8,99990048,
127,9,99990049,
127,10,99990050,
128,1,99990051,
128,2,99990052,
128,3,99990053,
128,4,99990054,
128,5,99990055,
128,6,99990056,
128,7,99990057,
128,8,99990058,
128,9,99990059,
128,10,99990060,
129,1,99990061,
129,2,99990062,
129,3,99990063,
129,4,99990064,
129,5,99990065,
129,6,99990066,
129,7,99990067,
129,8,99990068,
129,9,99990069,
129,10,99990070,
130,1,99990071,
130,2,99990072,
130,3,99990073,
130,4,99990074,
130,5,99990075,
130,6,99990076,
130,7,99990077,
130,8,99990078,
130,9,99990079,
130,10,99990080,
131,1,99990081,
131,2,99990082,
131,3,99990083,
131,4,99990084,
131,5,99990085,
131,6,99990086,
131,7,99990087,
131,8,99990088,
131,9,99990089,
131,10,99990090,
132,1,99990091,
132,2,99990092,
132,3,99990093,
132,4,99990094,
132,5,99990095,
132,6,99990096,
132,7,99990097,
132,8,99990098,
132,9,99990099,
132,10,99990100,
133,1,99990101,
133,2,99991146,
133,3,99991147,
133,4,99990102,
133,5,99990103,
133,6,99991148,
133,7,99991149,
133,8,99990104,
133,9,99990105,
133,10,99991150,
134,1,99991151,
134,2,99990106,
134,3,99990107,
134,4,99991152,
134,5,99991153,
134,6,99990108,
134,7,99990109,
134,8,99991154,
134,9,99991155,
134,10,99990110,
135,1,99990111,
135,2,99991156,
135,3,99991157,
135,4,99990112,
135,5,99990113,
135,6,99991158,
135,7,99991159,
135,8,99990114,
135,9,99990115,
135,10,99991160,
136,1,99991161,
136,2,99990116,
136,3,99990117,
136,4,99991162,
136,5,99991163,
136,6,99990118,
136,7,99990119,
136,8,99991164,
136,9,99991165,
136,10,99990120,
137,1,99990121,
137,2,99991166,
137,3,99991167,
137,4,99990122,
137,5,99990123,
137,6,99991168,
137,7,99991169,
137,8,99990124,
137,9,99990125,
137,10,99991170,
138,1,99991171,
138,2,99990126,
138,3,99990127,
138,4,99991172,
138,5,99991173,
138,6,99990128,
138,7,99990129,
138,8,99990130,
138,9,99990131,
138,10,99990132,
139,1,99990133,
139,2,99990134,
139,3,99990135,
139,4,99990136,
139,5,99990137,
139,6,99990138,
139,7,99990139,
139,8,99990140,
139,9,99990141,
139,10,99990142,
140,1,99990143,
140,2,99990144,
140,3,99990145,
140,4,99990146,
140,5,99990147,
140,6,99990148,
140,7,99990149,
140,8,99990150,
140,9,99990151,
140,10,99990152,
141,1,99990153,
141,2,99990154,
141,3,99990155,
141,4,99990156,
141,5,99990157,
141,6,99990158,
141,7,99990159,
141,8,99990160,
141,9,99990161,
141,10,99990211,
142,1,99990212,
142,2,99990213,
142,3,99990214,
142,4,99990215,
142,5,99990216,
142,6,99990217,
142,7,99990218,
142,8,99990219,
142,9,99990220,
142,10,10127001,
143,1,10127002,
143,2,10127003,
143,3,10127004,
143,4,10127005,
143,5,10127006,
143,6,10127007,
143,7,10127008,
143,8,10127009,
143,9,10127010,
143,10,10127011,
144,1,10127012,
144,2,10127013,
144,3,10127014,
144,4,10127015,
144,5,10127016,
144,6,10127017,
144,7,10127018,
144,8,10127019,
144,9,10127020,
144,10,10127021,
145,1,10127022,
145,2,10127023,
145,3,10127024,
145,4,10127025,
145,5,10127026,
145,6,10127027,
145,7,10127028,
145,8,10127029,
145,9,10127030,
145,10,10127031,
146,1,10127032,
146,2,10127033,
146,3,10127034,
146,4,10127035,
146,5,10127036,
146,6,10127037,
146,7,10127038,
146,8,10127039,
146,9,10127040,
146,10,10127041,
147,1,10127042,
147,2,10127043,
147,3,10127044,
147,4,10127045,
147,5,10127046,
147,6,10127047,
147,7,10127048,
147,8,99980001,
147,9,99980002,
147,10,99980071,
148,1,99980072,
148,2,99980003,
148,3,99980004,
148,4,99980073,
148,5,99980074,
148,6,99980005,
148,7,99980006,
148,8,99980075,
148,9,99980076,
148,10,99980007,
149,1,99980008,
149,2,99980077,
149,3,99980078,
149,4,99980009,
149,5,99980010,
149,6,99980079,
149,7,99980080,
149,8,99980011,
149,9,99980012,
149,10,99980081,
150,1,99980082,
150,2,99980013,
150,3,99980014,
150,4,99980083,
150,5,99980084,
150,6,99980015,
150,7,99980016,
150,8,99980085,
150,9,99980086,
150,10,99980017,
151,1,99980018,
151,2,99980087,
151,3,99980088,
151,4,99980019,
151,5,99980020,
151,6,99980089,
151,7,99980090,
151,8,99980021,
151,9,99980022,
151,10,99980091,
152,1,99980092,
152,2,99980023,
152,3,99980024,
152,4,99980093,
152,5,99980094,
152,6,99980025,
152,7,99980026,
152,8,99980095,
152,9,99980096,
152,10,99980027,
153,1,99980028,
153,2,99980097,
153,3,99980098,
153,4,99980029,
153,5,99980030,
153,6,99980099,
153,7,99980100,
153,8,99980031,
153,9,99980032,
153,10,99980101,
154,1,99980102,
154,2,99980033,
154,3,99980034,
154,4,99980035,
154,5,99980036,
154,6,99980037,
154,7,99980038,
154,8,99980039,
154,9,99980040,
154,10,99980041,
155,1,99980042,
155,2,99980043,
155,3,99980044,
155,4,99980045,
155,5,99980046,
155,6,99980047,
155,7,99980048,
155,8,99980049,
155,9,99980050,
155,10,99980051,
156,1,99980052,
156,2,99980053,
